ID	XL_ID	XL_ID_source	XENLA_XenBase_GeneNames	XENLA_GenBank_Description	HUMAN_UniProtID	HUMAN_GeneNames_Primary	HUMAN_GeneNames_Synonyms	eggNOG_annotation
ENOG411CP51	148229304, Xelaev18015962m.g	GenBank, Xenbase_9.1	NA, ctdsp2.S	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2 [Xenopus laevis], NA	O14595	CTDSP2	NIF2 OS4 SCP2	CTD (Carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2
ENOG411CP52	Xelaev18013124m.g	Xenbase_9.1	ubac2.L	"NA"	Q8NBM4	UBAC2	PHGDHL1	UBA domain containing 2
ENOG411CP54	Xelaev18017121m.g, Xelaev18034620m.g	Xenbase_9.1	gabrp.L, Xetrov90017646m.L	"NA"	O00591	GABRP	"NA"	gamma-aminobutyric acid (GABA) A receptor, pi
ENOG411CP55	147901213, Xelaev18031787m.g, Xelaev18033548m.g	GenBank, Xenbase_9.1	NA, timm21.L, timm21.S	TIM21-like protein, mitochondrial precursor [Xenopus laevis], NA	Q9BVV7	TIMM21	C18orf55 TIM21	translocase of inner mitochondrial membrane 21 homolog (yeast)
ENOG411CP56	148225899, Xelaev18000056m.g, Xelaev18037237m.g	GenBank, Xenbase_9.1	NA, Xelaev18000056m.g, stx3.S	syntaxin 3 [Xenopus laevis], NA	Q13277	STX3	STX3A	syntaxin 3
ENOG411CP57	Xelaev18002196m.g, Xelaev18003381m.g, Xelaev18011893m.g, Xelaev18014585m.g	Xenbase_9.1	sh2b1.S, sh2b1.L, sh2b2.L, sh2b2.S	"NA"	Q9NRF2, O14492	SH2B1, SH2B2	KIAA1299 SH2B, APS	SH2B adaptor protein
ENOG411CP59	148236785, Xelaev18047727m.g	GenBank, Xenbase_9.1	NA, lcmt1.S	leucine carboxyl methyltransferase 1 [Xenopus laevis], NA	Q9UIC8	LCMT1	LCMT	Leucine carboxyl methyltransferase 1
ENOG411CP5A	Xelaev18001804m.g, Xelaev18016701m.g, Xelaev18019763m.g, Xelaev18002564m.g	Xenbase_9.1	Xelaev18001804m.g, bicd1.L, bicd1.S, Xelaev18002564m.g	"NA"	Q96G01, Q8TD16	BICD1, BICD2	NA, KIAA0699	bicaudal D homolog
ENOG411CP5B	116672740, 116672742, 116672744, 116672746, 213623764, 213626823, Xelaev18016047m.g, Xelaev18044896m.g, Xelaev18013582m.g	GenBank, Xenbase_9.1	NA, map3k12.S, map3k13.L, map3k12.L	mitogen activated protein kinase kinase kinase 13 type B [Xenopus laevis], mitogen activated protein kinase kinase kinase 12 type A [Xenopus laevis], mitogen activated protein kinase kinase kinase 13 type A [Xenopus laevis], mitogen activated protein kinase kinase kinase 12 type B [Xenopus laevis], Mitogen activated protein kinase kinase kinase 12 type A [Xenopus laevis], NA	O43283, Q12852	MAP3K13, MAP3K12	LZK, ZPK	Mitogen-activated protein kinase kinase kinase
ENOG411CP5D	Xelaev18038891m.g	Xenbase_9.1	nkap.L	"NA"	NA	NA	NA	NFkB activating
ENOG411CP5E	Xelaev18023447m.g	Xenbase_9.1	zbtb41.L	"NA"	Q5SVQ8	ZBTB41	FRBZ1	Zinc finger and BTB domain containing 41
ENOG411CP5F	147906324, Xelaev18025801m.g	GenBank, Xenbase_9.1	NA, nprl2.S	nitrogen permease regulator-like 2 [Xenopus laevis], NA	Q8WTW4	NPRL2	TUSC4	nitrogen permease regulator-like 2 (S. cerevisiae)
ENOG411CP5G	147899266, 148226098, Xelaev18000405m.g, Xelaev18031467m.g	GenBank, Xenbase_9.1	NA, Xelaev18000405m.g, znf622.L	zinc finger protein 622 [Xenopus laevis], NA	Q969S3	ZNF622	ZPR9	Zinc finger protein 622
ENOG411CP5H	117667423, 147898703, 148232620, 28422454, Xelaev18040893m.g, Xelaev18020683m.g, Xelaev18006316m.g, Xelaev18009842m.g, Xelaev18018158m.g	GenBank, Xenbase_9.1	NA, Xelaev18040893m.g, Xelaev18020683m.g, myo1f.L, myo1f.S, Xelaev18018158m.g	myosin-1e [Xenopus laevis], myosin IF [Xenopus laevis], myosin IE, gene 2 [Xenopus laevis], Myo1e-prov protein [Xenopus laevis], NA	O00160, Q12965	MYO1F, MYO1E	NA, MYO1C	myosin IE
ENOG411CP5I	147901013, Xelaev18037696m.g, Xelaev18035919m.g	GenBank, Xenbase_9.1	NA, prpf31.S, prpf31.L	U4/U6 small nuclear ribonucleoprotein Prp31 [Xenopus laevis], NA	Q8WWY3	PRPF31	PRP31	PRP31 pre-mRNA processing factor 31 homolog (S. cerevisiae)
ENOG411CP5J	148223305, 50418023	GenBank	"NA"	glutathione synthetase [Xenopus laevis], Gssls-A-prov protein [Xenopus laevis]	P48637	GSS	"NA"	glutathione synthetase
ENOG411CP5M	146327086, 77748167, Xelaev18025870m.g	GenBank, Xenbase_9.1	NA, mrps25.S	LOC100049746 protein [Xenopus laevis], LOC733400 protein [Xenopus laevis], NA	P82663	MRPS25	RPMS25	Mitochondrial ribosomal protein S25
ENOG411CP5N	147901994, Xelaev18016359m.g	GenBank, Xenbase_9.1	NA, alg8.S	asparagine-linked glycosylation 8, alpha-1,3-glucosyltransferase homolog [Xenopus laevis], NA	Q9BVK2	ALG8	"NA"	Asparagine-linked glycosylation 8, alpha-1,3-glucosyltransferase homolog (S. cerevisiae)
ENOG411CP5P	148233697	GenBank	"NA"	DIM1 dimethyladenosine transferase 1 homolog [Xenopus laevis]	Q9UNQ2	DIMT1	DIMT1L	DIM1 dimethyladenosine transferase 1 homolog (S. cerevisiae)
ENOG411CP5Q	147900859, Xelaev18011098m.g, Xelaev18008451m.g	GenBank, Xenbase_9.1	NA, lipg.S, lipg.L	lipase, endothelial precursor [Xenopus laevis], NA	Q9Y5X9	LIPG	"NA"	Lipase, endothelial
ENOG411CP5R	147904932, 54038320, Xelaev18003336m.g, Xelaev18041652m.g	GenBank, Xenbase_9.1	NA, gpr107.L, gpr107.S	G protein-coupled receptor 107 [Xenopus laevis], LOC495226 protein [Xenopus laevis], NA	Q5VW38, Q9NPR9	GPR107, GPR108	KIAA1624 LUSTR1, LUSTR2	G- protein-coupled receptor
ENOG411CP5S	Xelaev18010359m.g, Xelaev18007415m.g	Xenbase_9.1	cabp7.S, cabp7.L	"NA"	Q86V35	CABP7	CALN2	calcium binding protein 7
ENOG411CP5T	147902045	GenBank	"NA"	MGC82392 protein [Xenopus laevis]	P61962	DCAF7	HAN11 WDR68	ddb1 and cul4 associated factor 7
ENOG411CP5U	Xelaev18003571m.g, Xelaev18033188m.g, Xelaev18031128m.g, Xelaev18024870m.g	Xenbase_9.1	cpne7.L, cpne4.S, cpne4.L, cpne7.S	"NA"	Q96A23, Q9UBL6, O95741	CPNE4, CPNE7, CPNE6	"NA"	copine IV
ENOG411CP5W	Xelaev18011728m.g, Xelaev18014139m.g, Xelaev18035035m.g	Xenbase_9.1	rtn4rl1.L, rtn4rl1.S, rtn4rl2.L	"NA"	Q86UN2, Q86UN3	RTN4RL1, RTN4RL2	NGRH2 NGRL2, NGRH1 NGRL3	Reticulon 4 receptor-like
ENOG411CP5X	147899996, Xelaev18045177m.g	GenBank, Xenbase_9.1	NA, ntan1.L	N-terminal asparagine amidase [Xenopus laevis], NA	Q96AB6	NTAN1	"NA"	N-terminal asparagine amidase
ENOG411CP5Y	123903247, Xelaev18041156m.g, Xelaev18039753m.g	GenBank, Xenbase_9.1	NA, Xetrov90021454m.S, Xetrov90021454m.L	RecName: Full=Protein KIAA0284 homolog, NA	Q9Y4F5	CEP170B	FAM68C KIAA0284	kiaa0284
ENOG411CP5Z	147905057, Xelaev18042323m.g, Xelaev18042322m.g, Xelaev18039011m.g	GenBank, Xenbase_9.1	NA, Xelaev18042323m.g, fam122b.S, loc550042.L	family with sequence similarity 122A [Xenopus laevis], NA	Q96E09, Q7Z309	FAM122A, FAM122B	C9orf42, NA	family with sequence similarity
ENOG411CP60	Xelaev18006056m.g	Xenbase_9.1	noa1.L	"NA"	Q8NC60	NOA1	C4orf14	nitric oxide associated 1
ENOG411CP61	147900163, 148223895, Xelaev18047101m.g, Xelaev18044582m.g, Xelaev18003857m.g	GenBank, Xenbase_9.1	NA, galnt13.S, galnt13.L, Xelaev18003857m.g	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1) [Xenopus laevis], UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 13 (GalNAc-T13) [Xenopus laevis], NA	Q10472, Q8IUC8	GALNT1, GALNT13	NA, KIAA1918	UDP-N-acetyl-alpha-D-galactosamine polypeptide N-acetylgalactosaminyltransferase
ENOG411CP62	147901954, 148235423, 148236291, 213625406, 259465608, 27696830, 62739311, 71051886, Xelaev18010034m.g, Xelaev18025261m.g, Xelaev18023157m.g	GenBank, Xenbase_9.1	NA, elavl2.S, elavl4.S, elavl4.L	ELAV-like protein 4 [Xenopus laevis], ELAV-like protein 2 [Xenopus laevis], ELAV (embryonic lethal, abnormal vision)-like 2 (Hu antigen B) [Xenopus laevis], Xel-1 protein [Xenopus laevis], unnamed protein product [Xenopus laevis], ElrD protein [Xenopus laevis], Elavl2-a protein [Xenopus laevis], NA	Q12926, P26378	ELAVL2, ELAVL4	HUB, HUD PNEM	ELAV (embryonic lethal, abnormal vision, Drosophila)-like
ENOG411CP63	123916458, 147903469, Xelaev18016943m.g	GenBank, Xenbase_9.1	NA, cnot8.L	RecName: Full=CCR4-NOT transcription complex subunit 7; AltName: Full=CCR4-associated factor 1; Short=CAF-1, CCR4-NOT transcription complex, subunit 8 [Xenopus laevis], NA	Q9UFF9, Q9UIV1	CNOT8, CNOT7	CALIF POP2, CAF1	CCR4-NOT transcription complex subunit
ENOG411CP64	116487662, 148222541, Xelaev18019082m.g	GenBank, Xenbase_9.1	NA, junb.L	Junb protein [Xenopus laevis], jun B proto-oncogene [Xenopus laevis], NA	P17275	JUNB	"NA"	Jun B proto-oncogene
ENOG411CP65	49257369, Xelaev18025136m.g, Xelaev18023003m.g	GenBank, Xenbase_9.1	NA, dock6-like.S, dock6-like.L	LOC443597 protein [Xenopus laevis], NA	Q96N67, Q96HP0	DOCK7, DOCK6	KIAA1771, KIAA1395	dedicator of cyto-kinesis
ENOG411CP66	1161304, Xelaev18035875m.g	GenBank, Xenbase_9.1	NA, lig1.L	ligase I [Xenopus laevis], NA	P18858	LIG1	"NA"	Ligase I, DNA, ATP-dependent
ENOG411CP67	Xelaev18039865m.g, Xelaev18028604m.g, Xelaev18026327m.g, Xelaev18041090m.g	Xenbase_9.1	ltk.L, alk.S, alk.L, ltk.S	"NA"	Q9UM73, P29376	ALK, LTK	NA, TYK1	receptor tyrosine kinase
ENOG411CP69	Xelaev18039530m.g, Xelaev18041327m.g	Xenbase_9.1	mrps10.L, mrps10.S	"NA"	P82664	MRPS10	"NA"	mitochondrial ribosomal protein S10
ENOG411CP6A	133737022, 148223435, 49255941	GenBank	"NA"	LOC397932 protein [Xenopus laevis], RAN binding protein 1 [Xenopus laevis]	P43487	RANBP1	"NA"	Ran binding protein 1
ENOG411CP6B	Xelaev18031793m.g, Xelaev18033560m.g	Xenbase_9.1	cd226.L, cd226.S	"NA"	Q15762	CD226	DNAM1	CD226 molecule
ENOG411CP6C	Xelaev18036358m.g	Xenbase_9.1	hspg2.L	"NA"	P98160	HSPG2	"NA"	heparan sulfate proteoglycan 2
ENOG411CP6D	148230454, 213626847, 214545, 551508, Xelaev18016008m.g, Xelaev18013548m.g	GenBank, Xenbase_9.1	NA, itga5.S, itga5.L	integrin alpha-5 precursor [Xenopus laevis], Integrin alpha5 subunit [Xenopus laevis], integrin alpha 5 subunit [Xenopus laevis], integrin alpha5tr subunit [Xenopus laevis], NA	P08648	ITGA5	FNRA	Integrin, alpha 5 (Fibronectin receptor, alpha polypeptide)
ENOG411CP6G	148236327, Xelaev18025294m.g	GenBank, Xenbase_9.1	NA, tceanc2.S	MGC84060 protein [Xenopus laevis], NA	Q96MN5	TCEANC2	C1orf83	transcription elongation factor A (SII) N-terminal and central domain containing 2
ENOG411CP6H	148227848, Xelaev18036831m.g, Xelaev18034524m.g	GenBank, Xenbase_9.1	NA, plekha1.S, plekha1.L	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1 [Xenopus laevis], NA	Q9HB21	PLEKHA1	TAPP1	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1
ENOG411CP6J	148230919, 213626223, Xelaev18028037m.g, Xelaev18030077m.g, Xelaev18033918m.g, Xelaev18032256m.g	GenBank, Xenbase_9.1	NA, grhl1.L, grhl1.S, grhl2.S, grhl2.L	grainyhead-like protein 1 homolog [Xenopus laevis], Grhl1 protein [Xenopus laevis], NA	Q6ISB3, Q9NZI5	GRHL2, GRHL1	BOM TFCP2L3, LBP32 MGR TFCP2L2	grainyhead-like 2 (Drosophila)
ENOG411CP6K	147904064, 148222462, Xelaev18017129m.g, Xelaev18021511m.g	GenBank, Xenbase_9.1	NA, spdl1.L, spdl1.S	protein Spindly-A [Xenopus laevis], protein Spindly-B [Xenopus laevis], NA	Q96EA4	SPDL1	CCDC99	spindle apparatus coiled-coil protein 1
ENOG411CP6M	Xelaev18034618m.g, Xelaev18036904m.g	Xenbase_9.1	kndc1.L, kndc1.S	"NA"	Q76NI1	KNDC1	C10orf23 KIAA1768 RASGEF2 VKIND	kinase non-catalytic C-lobe domain (KIND) containing 1
ENOG411CP6N	147902410, 148224480, 148238044, 54038689, Xelaev18010326m.g, Xelaev18007381m.g, Xelaev18022839m.g	GenBank, Xenbase_9.1	NA, ndrg2.S, ndrg2.L, Xelaev18022839m.g	protein NDRG2 [Xenopus laevis], protein NDRG4-A [Xenopus laevis], protein NDRG4-B [Xenopus laevis], MGC84035 protein [Xenopus laevis], NA	Q9UN36, Q9ULP0	NDRG2, NDRG4	KIAA1248 SYLD, BDM1 KIAA1180	NDRG family member
ENOG411CP6R	120577604, Xelaev18017294m.g, Xelaev18005068m.g, Xelaev18008892m.g	GenBank, Xenbase_9.1	NA, f12.L, hgfac.L, hgfac.S	LOC100037012 protein [Xenopus laevis], NA	Q04756, P00748	HGFAC, F12	"NA"	coagulation factor XII (Hageman factor)
ENOG411CP6S	148223053, 148226340, Xelaev18033564m.g, Xelaev18031797m.g	GenBank, Xenbase_9.1	NA, tmx3.S, tmx3.L	thioredoxin-related transmembrane protein 3 precursor [Xenopus laevis], protein disulfide-isomerase TMX3 precursor [Xenopus laevis], NA	Q96JJ7	TMX3	KIAA1830 TXNDC10	thioredoxin-related transmembrane protein 3
ENOG411CP6U	148228559, Xelaev18036111m.g, Xelaev18037832m.g	GenBank, Xenbase_9.1	NA, Xelaev18036111m.g, otog.S	otogelin precursor [Xenopus laevis], NA	Q3ZCN5	OTOGL	C12orf64	Otogelin-like
ENOG411CP6W	148235313, 3599503, Xelaev18025777m.g, Xelaev18023831m.g	GenBank, Xenbase_9.1	NA, gnai2.S, gnai2.L	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2 [Xenopus laevis], guanine nucleotide-binding protein Gi alpha subunit [Xenopus laevis], NA	P04899	GNAI2	GNAI2B	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2
ENOG411CP6X	Xelaev18035134m.g	Xenbase_9.1	loc100490041.L	"NA"	Q5SZD4	GLYATL3	C6orf140	glycine-N-acyltransferase-like 3
ENOG411CP6Z	Xelaev18009285m.g, Xelaev18005560m.g	Xenbase_9.1	setd7.S, setd7.L	"NA"	Q8WTS6	SETD7	KIAA1717 KMT7 SET7 SET9	SET domain containing (lysine methyltransferase) 7
ENOG411CP70	Xelaev18024880m.g, Xelaev18033580m.g, Xelaev18031822m.g, Xelaev18004709m.g	Xenbase_9.1	spire2.S, spire1.S, spire1.L, spire2.L	"NA"	Q08AE8, Q8WWL2	SPIRE1, SPIRE2	KIAA1135 SPIR1, KIAA1832 SPIR2	spire homolog
ENOG411CP71	148232184, Xelaev18009335m.g	GenBank, Xenbase_9.1	NA, ccdc109b.S	coiled-coil domain containing 109B [Xenopus laevis], NA	Q9NWR8	MCUB	CCDC109B	Coiled-coil domain containing 109B
ENOG411CP72	148222836, 148231963, 148237598, 22651779, 47682585	GenBank	"NA"	aquaporin 3 (Gill blood group) [Xenopus laevis], aquaporin [Xenopus laevis], Aqp3 protein [Xenopus laevis]	Q92482	AQP3	"NA"	Aquaporin 3 (Gill blood group)
ENOG411CP73	171846993, Xelaev18022601m.g	GenBank, Xenbase_9.1	NA, atxn1l.L	LOC100158423 protein [Xenopus laevis], NA	P0C7T5	ATXN1L	BOAT BOAT1	ataxin 1-like
ENOG411CP74	Xelaev18028049m.g, Xelaev18030085m.g	Xenbase_9.1	kcnf1.L, kcnf1.S	"NA"	Q9H3M0	KCNF1	"NA"	potassium voltage-gated channel, subfamily F, member 1
ENOG411CP75	148233406, 148233503, Xelaev18005882m.g, Xelaev18020720m.g, Xelaev18018115m.g, Xelaev18009549m.g	GenBank, Xenbase_9.1	NA, chrnb3.L, chrna5-like.S, chrna5-like.L, chrnb3.S	cholinergic receptor, nicotinic, alpha 5 precursor [Xenopus laevis], cholinergic receptor, nicotinic, beta 3 [Xenopus laevis], NA	P30532, Q05901	CHRNA5, CHRNB3	NACHRA5, NA	cholinergic receptor, nicotinic
ENOG411CP76	125693, 125694, 147906429, Xelaev18042263m.g, Xelaev18029088m.g, Xelaev18038924m.g, Xelaev18015064m.g	GenBank, Xenbase_9.1	NA, rps6ka6.S, rps6ka2.S, rps6ka6.L, rps6ka1.S	RecName: Full=Ribosomal protein S6 kinase 2 alpha; AltName: Full=MAP kinase-activated protein kinase 1; Short=MAPK-activated protein kinase 1; Short=MAPKAP kinase 1; Short=MAPKAPK-1; AltName: Full=Ribosomal protein S6 kinase II alpha; Short=S6KII-alpha; AltName: Full=p90-RSK, RecName: Full=Ribosomal protein S6 kinase 2 beta; AltName: Full=Ribosomal protein S6 kinase II beta; Short=S6KII-beta; AltName: Full=p90-RSK, ribosomal protein S6 kinase 2 beta [Xenopus laevis], NA	Q15418, Q15349, Q9UK32	RPS6KA1, RPS6KA2, RPS6KA6	MAPKAPK1A RSK1, MAPKAPK1C RSK3, RSK4	Ribosomal protein S6 kinase, 90kDa, polypeptide
ENOG411CP77	Xelaev18003148m.g, Xelaev18046097m.g, Xelaev18047137m.g, Xelaev18032608m.g, Xelaev18003149m.g, Xelaev18043357m.g, Xelaev18032607m.g, Xelaev18044631m.g	Xenbase_9.1	loc100491983.1.L, loc100485121.S, kcnh7.S, loc100491983.S, Xelaev18003149m.g, loc100485121.L, Xelaev18032607m.g, kcnh7.L	"NA"	Q9NS40, Q12809, Q9H252	KCNH7, KCNH2, KCNH6	ERG3, ERG ERG1 HERG, ERG2	Potassium voltage-gated channel, subfamily H (Eag-related), member
ENOG411CP79	Xelaev18045610m.g, Xelaev18044084m.g, Xelaev18047833m.g, Xelaev18025684m.g, Xelaev18023683m.g, Xelaev18046719m.g	Xenbase_9.1	loc100125055.L, galr2.L, loc100125055.S, galr3.S, galr3.L, galr2.S	"NA"	O43603, O60755	GALR2, GALR3	GALNR2, GALNR3	Galanin receptor
ENOG411CP7A	148231520, 148237994, Xelaev18025091m.g	GenBank, Xenbase_9.1	NA, ankrd13c.S	ankyrin repeat domain-containing protein 13C-B [Xenopus laevis], ankyrin repeat domain-containing protein 13C-A [Xenopus laevis], NA	Q8N6S4	ANKRD13C	"NA"	ankyrin repeat domain 13C
ENOG411CP7B	Xelaev18022454m.g	Xenbase_9.1	heatr3.L	"NA"	Q7Z4Q2	HEATR3	"NA"	HEAT repeat containing 3
ENOG411CP7C	Xelaev18019340m.g, Xelaev18000930m.g	Xenbase_9.1	None	"NA"	O75888	TNFSF13	APRIL TALL2 ZTNF2	Tumor necrosis factor (Ligand) superfamily member
ENOG411CP7D	1095779, 1399751, 148227930, 27695033, 49118328, Xelaev18020954m.g, Xelaev18023809m.g, Xelaev18017802m.g, Xelaev18025760m.g	GenBank, Xenbase_9.1	NA, hgf.S, mst1.L, hgf.L, mst1.S	hepatocyte growth factor, growth factor Livertine [Xenopus laevis], macrophage stimulating 1 (hepatocyte growth factor-like) [Xenopus laevis], MGC54016 protein [Xenopus laevis], LOC397993 protein [Xenopus laevis], NA	Q2TV78, P26927, P14210	MST1L, MST1, HGF	D1F15S1A MST1P9 MSTP9, D3F15S2 DNF15S2 HGFL, HPTA	hepatocyte growth factor (hepapoietin A
ENOG411CP7G	49522196, Xelaev18046969m.g, Xelaev18033369m.g, Xelaev18044413m.g	GenBank, Xenbase_9.1	NA, march4.S, march11.S, march4.L	LOC443709 protein [Xenopus laevis], NA	Q9P2E8, Q86YJ5, A6NNE9	MARCH4, MARCH9, MARCH11	KIAA1399 RNF174, RNF179, NA	membrane-associated ring finger (C3HC4)
ENOG411CP7I	115528239, Xelaev18029460m.g, Xelaev18002124m.g	GenBank, Xenbase_9.1	NA, slc17a5.S, slc17a5.L	LOC100158341 protein [Xenopus laevis], NA	Q9NRA2	SLC17A5	"NA"	solute carrier family 17 (anion sugar transporter), member 5
ENOG411CP7J	Xelaev18043252m.g, Xelaev18046917m.g, Xelaev18044352m.g, Xelaev18046013m.g	Xenbase_9.1	znf281.L, znf148.S, znf148.L, znf281.S	"NA"	Q9Y2X9, Q9UQR1	ZNF281, ZNF148	GZP1 ZBP99, ZBP89	Zinc finger protein
ENOG411CP7K	Xelaev18039855m.g	Xenbase_9.1	sptbn5.L	"NA"	Q9NRC6	SPTBN5	BSPECV HUBSPECV HUSPECV	spectrin, beta, non-erythrocytic 5
ENOG411CP7M	Xelaev18018138m.g	Xenbase_9.1	fan1.L	"NA"	Q9Y2M0	FAN1	KIAA1018 MTMR15	FANCD2 FANCI-associated nuclease 1
ENOG411CP7N	147905384, Xelaev18001170m.g, Xelaev18006602m.g	GenBank, Xenbase_9.1	NA, abhd8.S, abhd8.L	abhydrolase domain-containing protein 8 [Xenopus laevis], NA	NA	NA	NA	Abhydrolase domain containing 8
